,50,150,250,350,450,550,650,750,850,950
0,14,38,61,86,112,136,165,189,213,234
1,12,39,63,84,114,138,167,191,210,237
2,14,37,60,88,112,136,161,187,213,237
3,11,40,64,88,111,138,160,182,212,233
4,12,38,61,88,112,137,162,189,217,241
5,11,39,65,89,114,138,161,189,212,240
6,13,38,62,87,114,134,158,187,211,239
7,14,39,61,88,113,137,165,187,214,236
8,12,37,63,87,115,141,167,187,215,236
9,12,36,63,88,113,138,160,190,209,238
10,12,36,62,87,111,137,163,186,213,237
11,12,36,63,89,111,141,161,189,214,236
12,12,36,63,88,114,138,162,187,211,239
13,15,37,64,88,113,139,164,187,212,236
14,12,39,63,85,113,135,162,186,213,240
15,12,35,62,90,108,137,162,187,211,241
perfect,12,37,62,87,112,137,162,187,212,237
