Pool	TCR6_3_m(#)	YLQ_TCR1_m(#)	type
0	27	22	pool
1	21	17	pool
2	1057	168	pool
3	514	177	pool
4	1129	33	pool
5	996	105	pool
6	32	17	pool
7	29	45	pool
8	23	5	pool
9	43	38	pool
10	978	27	pool
11	21	183	pool
0	26	15	pool
1	24	15	pool
2	1020	158	pool
3	629	195	pool
4	990	27	pool
5	1035	119	pool
6	26	38	pool
7	25	7	pool
8	16	16	pool
9	26	28	pool
10	1064	34	pool
11	22	181	pool
0	19	23	pool
1	17	13	pool
2	1123	138	pool
3	584	193	pool
4	1075	48	pool
5	1082	110	pool
6	40	34	pool
7	38	24	pool
8	34	18	pool
9	37	68	pool
10	949	45	pool
11	24	157	pool
pept	1495	1387	control
pept	1532	2091	control
pept	1776	1950	control
allmix	789	59	control
allmix_5x	310	36	control
allmix_25x	111	19	control
unstim	22	25	control
unstim	23	20	control
unstim	16	16	control
PMA	1128	2208	control
PMA	1037	2284	control
PMA	1051	2298	control
